Title,Prices,Ratings,URL
A Light in the ...,Â£51.77,Three,http://books.toscrape.com//media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,Â£53.74,One,http://books.toscrape.com//media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,Â£50.10,One,http://books.toscrape.com//media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,Â£47.82,Four,http://books.toscrape.com//media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History ...,Â£54.23,Five,http://books.toscrape.com//media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,Â£22.65,One,http://books.toscrape.com//media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets ...,Â£33.34,Four,http://books.toscrape.com//media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
The Coming Woman: A ...,Â£17.93,Three,http://books.toscrape.com//media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the ...,Â£22.60,Four,http://books.toscrape.com//media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,Â£52.15,One,http://books.toscrape.com//media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
Starving Hearts (Triangular Trade ...,Â£13.99,Two,http://books.toscrape.com//media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,Â£20.66,Four,http://books.toscrape.com//media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,Â£17.46,Five,http://books.toscrape.com//media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little ...,Â£52.29,Five,http://books.toscrape.com//media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
